chrom,scenario,seed,priv_pca_count,priv_geo_count
6,uniform,3,138.0,
6,uniform,4,145.0,
6,uniform,5,136.0,
6,uniform,6,160.0,
6,uniform,7,133.0,
6,uniform,8,141.0,
6,uniform,9,120.0,
6,uniform,10,127.0,
6,5epsilonpca,1,170.0,
6,5epsilonpca,2,146.0,
6,5epsilonpca,3,140.0,
6,5epsilonpca,4,151.0,
6,5epsilonpca,5,147.0,
6,5epsilonpca,6,161.0,
6,5epsilonpca,7,149.0,
6,5epsilonpca,8,157.0,
6,5epsilonpca,9,148.0,
6,5epsilonpca,10,159.0,
6,10epsilonpca,1,136.0,
6,10epsilonpca,2,142.0,
6,10epsilonpca,3,157.0,
6,10epsilonpca,4,153.0,
6,10epsilonpca,5,154.0,
6,10epsilonpca,6,141.0,
6,10epsilonpca,7,148.0,
6,10epsilonpca,8,154.0,
6,10epsilonpca,9,120.0,
6,10epsilonpca,10,148.0,
6,50epsilonpca,1,165.0,
6,50epsilonpca,2,125.0,
6,50epsilonpca,3,135.0,
6,50epsilonpca,4,133.0,
6,50epsilonpca,5,120.0,
6,50epsilonpca,6,151.0,
6,50epsilonpca,7,127.0,
6,50epsilonpca,8,130.0,
6,50epsilonpca,9,149.0,
6,50epsilonpca,10,140.0,
6,100epsilonpca,1,120.0,
6,100epsilonpca,2,139.0,
6,100epsilonpca,3,135.0,
6,100epsilonpca,4,132.0,
6,100epsilonpca,5,128.0,
6,100epsilonpca,6,141.0,
6,100epsilonpca,7,126.0,
6,100epsilonpca,8,136.0,
6,100epsilonpca,9,132.0,
6,100epsilonpca,10,158.0,
6,closest10kpca,1,200.0,
6,closest10kpca,2,200.0,
6,closest10kpca,3,200.0,
6,closest10kpca,4,200.0,
6,closest10kpca,5,200.0,
6,closest10kpca,6,200.0,
6,closest10kpca,7,200.0,
6,closest10kpca,8,200.0,
6,closest10kpca,9,200.0,
6,closest10kpca,10,200.0,
6,5epsilongeo,1,,23.0
6,5epsilongeo,2,,23.0
6,5epsilongeo,3,,28.0
6,5epsilongeo,4,,30.0
6,5epsilongeo,5,,19.0
6,5epsilongeo,6,,25.0
6,5epsilongeo,7,,19.0
6,5epsilongeo,8,,25.0
6,5epsilongeo,9,,22.0
6,5epsilongeo,10,,22.0
6,10epsilongeo,1,,10.0
6,10epsilongeo,2,,10.0
6,10epsilongeo,3,,10.0
6,10epsilongeo,4,,14.0
6,10epsilongeo,5,,15.0
6,10epsilongeo,6,,15.0
6,10epsilongeo,7,,13.0
6,10epsilongeo,8,,9.0
6,10epsilongeo,9,,14.0
6,10epsilongeo,10,,12.0
6,50epsilongeo,1,,10.0
6,50epsilongeo,2,,5.0
6,50epsilongeo,3,,6.0
6,50epsilongeo,4,,6.0
6,50epsilongeo,5,,5.0
6,50epsilongeo,6,,5.0
6,50epsilongeo,7,,5.0
6,50epsilongeo,8,,8.0
6,50epsilongeo,9,,8.0
6,50epsilongeo,10,,9.0
6,closest10kgeo,1,,21.0
6,closest10kgeo,2,,21.0
6,closest10kgeo,3,,21.0
6,closest10kgeo,4,,21.0
6,closest10kgeo,5,,21.0
6,closest10kgeo,6,,21.0
6,closest10kgeo,7,,21.0
6,closest10kgeo,8,,21.0
