sigma,rho,s,w,mu,logl
10.0,4.54,0.006210169418915616,multi,1.25e-08,-6619.396681415118
27.0,0.78,0.0038566204211634724,multi,1.25e-08,-6622.780902929962
22.0,2.15,0.006210169418915616,multi,1.25e-08,-6623.675777133981
21.0,2.15,0.007278953843983146,multi,1.25e-08,-6627.688926132369
28.0,1.12,0.004520353656360241,multi,1.25e-08,-6631.584638633569
8.0,3.51,0.005298316906283708,multi,1.25e-08,-6632.511848518756
9.0,3.51,0.004520353656360241,multi,1.25e-08,-6636.209854050116
14.0,2.83,0.007278953843983146,multi,1.25e-08,-6644.262553783369
7.0,4.2,0.005298316906283708,multi,1.25e-08,-6651.5492578260855
11.0,3.17,0.004520353656360241,multi,1.25e-08,-6657.558897657779
13.0,1.81,0.004520353656360241,multi,1.25e-08,-6663.796201903318
16.0,1.47,0.005298316906283708,multi,1.25e-08,-6666.630560174635
30.0,1.47,0.006210169418915616,multi,1.25e-08,-6670.1394916168465
9.0,4.88,0.006210169418915616,multi,1.25e-08,-6670.892019766325
14.0,3.51,0.006210169418915616,multi,1.25e-08,-6685.182520812653
7.0,5.22,0.005298316906283708,multi,1.25e-08,-6690.792230966728
23.0,1.47,0.004520353656360241,multi,1.25e-08,-6693.334977544955
28.0,0.78,0.006210169418915616,multi,1.25e-08,-6705.6258426851045
16.0,2.83,0.007278953843983146,multi,1.25e-08,-6708.653461770409
24.0,0.78,0.0038566204211634724,multi,1.25e-08,-6715.134473617239
20.0,1.12,0.0038566204211634724,multi,1.25e-08,-6717.549093456663
15.0,1.81,0.006210169418915616,multi,1.25e-08,-6718.275742459543
16.0,2.15,0.007278953843983146,multi,1.25e-08,-6718.873042214437
25.0,1.81,0.007278953843983146,multi,1.25e-08,-6719.4894111314015
28.0,0.78,0.0038566204211634724,multi,1.25e-08,-6720.6449526763445
21.0,1.47,0.007278953843983146,multi,1.25e-08,-6722.37401788102
8.0,5.22,0.006210169418915616,multi,1.25e-08,-6735.506479941654
13.0,3.17,0.007278953843983146,multi,1.25e-08,-6736.468210230252
18.0,1.81,0.007278953843983146,multi,1.25e-08,-6743.666352511906
7.0,4.88,0.006210169418915616,multi,1.25e-08,-6753.655317777711
15.0,1.47,0.004520353656360241,multi,1.25e-08,-6753.673674362442
7.0,5.22,0.006210169418915616,multi,1.25e-08,-6754.634262749261
13.0,2.15,0.006210169418915616,multi,1.25e-08,-6759.437543796468
16.0,2.83,0.005298316906283708,multi,1.25e-08,-6759.78607343763
14.0,3.17,0.007278953843983146,multi,1.25e-08,-6763.540915051397
19.0,1.12,0.0038566204211634724,multi,1.25e-08,-6765.433899973488
8.0,3.51,0.004520353656360241,multi,1.25e-08,-6770.078242639245
21.0,1.12,0.0038566204211634724,multi,1.25e-08,-6770.4050662447025
8.0,3.86,0.004520353656360241,multi,1.25e-08,-6772.319990440526
18.0,2.49,0.005298316906283708,multi,1.25e-08,-6772.8493567669775
10.0,3.51,0.004520353656360241,multi,1.25e-08,-6775.227289798068
10.0,2.49,0.004520353656360241,multi,1.25e-08,-6784.892477111482
30.0,1.47,0.007278953843983146,multi,1.25e-08,-6785.567493470287
13.0,3.51,0.005298316906283708,multi,1.25e-08,-6795.132560965058
13.0,2.83,0.004520353656360241,multi,1.25e-08,-6798.005432301463
6.0,5.22,0.005298316906283708,multi,1.25e-08,-6801.932338608211
8.0,3.86,0.006210169418915616,multi,1.25e-08,-6806.209367226135
13.0,2.83,0.007278953843983146,multi,1.25e-08,-6811.429097358357
19.0,2.49,0.007278953843983146,multi,1.25e-08,-6820.099326008829
17.0,2.15,0.004520353656360241,multi,1.25e-08,-6823.5409585320285
25.0,1.12,0.007278953843983146,multi,1.25e-08,-6829.348589929101
9.0,2.83,0.004520353656360241,multi,1.25e-08,-6832.6921621098845
25.0,0.78,0.005298316906283708,multi,1.25e-08,-6840.437136046178
13.0,3.86,0.006210169418915616,multi,1.25e-08,-6842.341029205204
6.0,5.56,0.005298316906283708,multi,1.25e-08,-6844.46412372284
7.0,5.56,0.006210169418915616,multi,1.25e-08,-6844.688898802548
6.0,4.88,0.005298316906283708,multi,1.25e-08,-6850.935813462498
14.0,2.49,0.007278953843983146,multi,1.25e-08,-6852.470539206567
12.0,3.51,0.007278953843983146,multi,1.25e-08,-6852.708141990883
16.0,1.47,0.0038566204211634724,multi,1.25e-08,-6855.966914184557
12.0,3.17,0.007278953843983146,multi,1.25e-08,-6858.602785028528
9.0,3.86,0.004520353656360241,multi,1.25e-08,-6861.015600921155
22.0,2.15,0.007278953843983146,multi,1.25e-08,-6861.278983313552
7.0,4.54,0.006210169418915616,multi,1.25e-08,-6861.500402109623
18.0,1.12,0.004520353656360241,multi,1.25e-08,-6863.988229159064
26.0,1.81,0.006210169418915616,multi,1.25e-08,-6869.889030485829
29.0,0.78,0.0038566204211634724,multi,1.25e-08,-6873.142716763555
17.0,1.47,0.0038566204211634724,multi,1.25e-08,-6878.813084011193
11.0,2.15,0.004520353656360241,multi,1.25e-08,-6882.256624581877
16.0,3.17,0.006210169418915616,multi,1.25e-08,-6883.981838863538
15.0,2.49,0.004520353656360241,multi,1.25e-08,-6887.7631132919905
7.0,5.56,0.005298316906283708,multi,1.25e-08,-6892.8117856513445
20.0,2.49,0.006210169418915616,multi,1.25e-08,-6895.980631289249
23.0,0.78,0.0038566204211634724,multi,1.25e-08,-6897.564560057173
8.0,5.22,0.005298316906283708,multi,1.25e-08,-6899.902551642628
28.0,1.47,0.005298316906283708,multi,1.25e-08,-6901.953332682617
7.0,3.86,0.005298316906283708,multi,1.25e-08,-6910.300993501244
17.0,2.83,0.007278953843983146,multi,1.25e-08,-6910.958136514997
22.0,1.12,0.0038566204211634724,multi,1.25e-08,-6912.679709453794
13.0,3.51,0.007278953843983146,multi,1.25e-08,-6912.717936227244
12.0,3.86,0.005298316906283708,multi,1.25e-08,-6918.011802220615
15.0,3.17,0.007278953843983146,multi,1.25e-08,-6922.2275511277
18.0,1.12,0.0038566204211634724,multi,1.25e-08,-6927.061143677674
20.0,1.81,0.004520353656360241,multi,1.25e-08,-6932.802026374071
8.0,4.2,0.004520353656360241,multi,1.25e-08,-6937.004051760801
9.0,4.88,0.005298316906283708,multi,1.25e-08,-6938.4054955223
12.0,4.2,0.006210169418915616,multi,1.25e-08,-6938.586192890701
7.0,4.2,0.004520353656360241,multi,1.25e-08,-6947.597722005285
19.0,1.12,0.005298316906283708,multi,1.25e-08,-6954.593430139712
11.0,3.51,0.007278953843983146,multi,1.25e-08,-6955.581832261214
29.0,1.12,0.004520353656360241,multi,1.25e-08,-6956.973050077517
6.0,5.9,0.005298316906283708,multi,1.25e-08,-6962.585448724443
8.0,5.56,0.006210169418915616,multi,1.25e-08,-6970.865502104898
10.0,4.54,0.005298316906283708,multi,1.25e-08,-6971.972236890351
11.0,4.2,0.005298316906283708,multi,1.25e-08,-6972.2392023858665
18.0,2.83,0.006210169418915616,multi,1.25e-08,-6973.479071390318
9.0,5.22,0.006210169418915616,multi,1.25e-08,-6974.927951924963
15.0,1.47,0.0038566204211634724,multi,1.25e-08,-6976.81055182305
11.0,3.86,0.007278953843983146,multi,1.25e-08,-6977.075443245463
21.0,1.12,0.006210169418915616,multi,1.25e-08,-6979.009736860757
26.0,1.81,0.007278953843983146,multi,1.25e-08,-6981.87260905406
11.0,4.54,0.006210169418915616,multi,1.25e-08,-6982.129231226979
8.0,3.17,0.004520353656360241,multi,1.25e-08,-6982.767043834136
14.0,1.81,0.0038566204211634724,multi,1.25e-08,-6982.796829422396
24.0,1.81,0.005298316906283708,multi,1.25e-08,-6983.530574243863
9.0,2.83,0.005298316906283708,multi,1.25e-08,-6983.539504726987
10.0,4.88,0.006210169418915616,multi,1.25e-08,-6987.466580324568
7.0,3.86,0.004520353656360241,multi,1.25e-08,-6998.651589146635
10.0,2.83,0.006210169418915616,multi,1.25e-08,-6999.508342568242
12.0,3.17,0.004520353656360241,multi,1.25e-08,-7005.652018262071
7.0,5.9,0.006210169418915616,multi,1.25e-08,-7008.201513901525
23.0,0.78,0.004520353656360241,multi,1.25e-08,-7010.578176511755
6.0,4.54,0.005298316906283708,multi,1.25e-08,-7011.649991779363
6.0,5.56,0.006210169418915616,multi,1.25e-08,-7015.926571951299
10.0,2.49,0.005298316906283708,multi,1.25e-08,-7017.938704319612
18.0,1.47,0.0038566204211634724,multi,1.25e-08,-7026.701128272085
6.0,5.9,0.006210169418915616,multi,1.25e-08,-7037.135014534354
7.0,4.54,0.004520353656360241,multi,1.25e-08,-7038.193865816862
13.0,1.81,0.0038566204211634724,multi,1.25e-08,-7043.7360204498655
23.0,2.15,0.006210169418915616,multi,1.25e-08,-7044.061699396656
21.0,2.15,0.005298316906283708,multi,1.25e-08,-7045.158729986284
12.0,3.86,0.007278953843983146,multi,1.25e-08,-7046.727281914704
9.0,3.17,0.006210169418915616,multi,1.25e-08,-7047.779946009966
13.0,1.81,0.005298316906283708,multi,1.25e-08,-7053.986384397947
15.0,2.15,0.007278953843983146,multi,1.25e-08,-7058.178377713746
20.0,1.47,0.007278953843983146,multi,1.25e-08,-7062.205569062863
24.0,1.47,0.004520353656360241,multi,1.25e-08,-7067.057113279698
17.0,1.47,0.006210169418915616,multi,1.25e-08,-7074.592714908036
30.0,0.78,0.0038566204211634724,multi,1.25e-08,-7075.365385763336
6.0,5.22,0.006210169418915616,multi,1.25e-08,-7076.660163410928
10.0,3.86,0.007278953843983146,multi,1.25e-08,-7086.9598886452495
15.0,1.81,0.0038566204211634724,multi,1.25e-08,-7091.78388412398
17.0,1.81,0.007278953843983146,multi,1.25e-08,-7100.345040623211
7.0,4.2,0.006210169418915616,multi,1.25e-08,-7103.498495740128
15.0,3.17,0.005298316906283708,multi,1.25e-08,-7103.884759643355
