sigma,rho,s,w,mu,logl
23.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-727.5458045911021
10.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-728.8021475979748
21.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-729.5725048189593
8.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-730.2801137694612
21.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-731.5878820270459
18.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-731.8905142833403
15.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-735.4596091713356
11.0,1.4655172413793105,0.004520353656360241,multi,1.25e-08,-742.1285862799475
26.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-743.2179169210424
14.0,1.124137931034483,0.006210169418915616,multi,1.25e-08,-745.6614789832133
14.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-753.2528477735598
8.0,1.4655172413793105,0.004520353656360241,multi,1.25e-08,-754.6745106435612
7.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-758.3513875289289
15.0,1.124137931034483,0.006210169418915616,multi,1.25e-08,-760.9718192895556
13.0,1.124137931034483,0.006210169418915616,multi,1.25e-08,-761.2651137115733
22.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-771.5251413123717
19.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-779.862170016845
9.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-780.8302740615302
8.0,1.806896551724138,0.004520353656360241,multi,1.25e-08,-783.9706563980619
17.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-787.2423236076952
23.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-790.9073319966601
22.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-794.3310147255604
24.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-795.6321400362065
16.0,1.124137931034483,0.006210169418915616,multi,1.25e-08,-803.7158312730305
12.0,1.4655172413793105,0.004520353656360241,multi,1.25e-08,-804.4751316104534
7.0,1.806896551724138,0.004520353656360241,multi,1.25e-08,-804.8767208009217
16.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-806.3300800292095
7.0,2.148275862068966,0.005298316906283708,multi,1.25e-08,-808.3376752813223
11.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-808.4534319401694
12.0,1.124137931034483,0.006210169418915616,multi,1.25e-08,-812.1546405875256
15.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-813.4914339173215
9.0,1.806896551724138,0.004520353656360241,multi,1.25e-08,-813.9221917528628
23.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-825.2777420069963
8.0,2.148275862068966,0.005298316906283708,multi,1.25e-08,-830.4847004392138
27.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-831.3147173518217
19.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-840.0488205448614
9.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-846.2776488707746
6.0,2.148275862068966,0.005298316906283708,multi,1.25e-08,-852.3499575119605
17.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-859.0020081367284
15.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-861.4842868884391
23.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-863.3710858993898
12.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-866.2061061683544
7.0,1.4655172413793105,0.004520353656360241,multi,1.25e-08,-867.0468556566523
17.0,1.124137931034483,0.006210169418915616,multi,1.25e-08,-871.1607728944484
7.0,2.148275862068966,0.004520353656360241,multi,1.25e-08,-871.3408314982896
11.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-874.5631973346465
25.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-877.0823073822753
16.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-879.4561066968706
10.0,1.806896551724138,0.004520353656360241,multi,1.25e-08,-880.9905901885616
6.0,2.148275862068966,0.004520353656360241,multi,1.25e-08,-881.4384547058983
13.0,1.4655172413793105,0.004520353656360241,multi,1.25e-08,-886.4116991117639
17.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-886.8811598962832
20.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-887.3368512558435
13.0,0.7827586206896552,0.0038566204211634724,multi,1.25e-08,-887.376305193814
24.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-889.8459403572708
12.0,0.7827586206896552,0.0038566204211634724,multi,1.25e-08,-892.901059708214
6.0,1.806896551724138,0.004520353656360241,multi,1.25e-08,-894.6127900101073
6.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-895.0786375887835
22.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-896.1473965450859
7.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-898.8073346149968
11.0,1.4655172413793105,0.006210169418915616,multi,1.25e-08,-901.7830005717068
11.0,1.124137931034483,0.006210169418915616,multi,1.25e-08,-903.7447953416647
9.0,2.148275862068966,0.005298316906283708,multi,1.25e-08,-906.0487634850535
10.0,1.4655172413793105,0.006210169418915616,multi,1.25e-08,-915.1645398276802
14.0,0.7827586206896552,0.0038566204211634724,multi,1.25e-08,-918.7233440180989
8.0,2.148275862068966,0.004520353656360241,multi,1.25e-08,-919.1820211907013
