w,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.0278255940220712,1,0,[1.],[-0.40832622  1.        ],"[1.0, 0.4083262241139249, 0.1667303052991352]","[1, 0.4083262241139249, 0.1762192299469532]","[0.0, 0.0, 0.009488924647817976]",0.009488924647817976,0.05384727109904181,2.449022230129886,-2.449022230129886,[1],,,0.0,[]
0.0305385550883341,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4009244581067744, 0.1700662397115664]","[0.0, 0.4009244581067744, 0.1700662397115664]",0.4009244581067744,1.0,,,,,,,
0.0305385550883341,0,1,[0.40092446 1.        ],[1.],"[1.0, 0.4009244581067744, 0.0]","[1, 0.4009244581067744, 0.1700662397115664]","[0.0, 0.0, 0.1700662397115664]",0.1700662397115664,1.0,,,,,,,
0.0305385550883341,1,0,[1.],[-0.40092446  1.        ],"[1.0, 0.4009244581067744, 0.1607404211082107]","[1, 0.4009244581067744, 0.1700662397115664]","[0.0, 0.0, 0.009325818603355684]",0.009325818603355684,0.054836389745385926,2.4942354595230993,-2.4942354595230993,[1],,,0.0,[]
0.0335160265093884,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.3935229887085454, 0.164017832347333]","[0.0, 0.3935229887085454, 0.164017832347333]",0.3935229887085454,1.0,,,,,,,
0.0335160265093884,0,1,[0.39352299 1.        ],[1.],"[1.0, 0.3935229887085454, 0.0]","[1, 0.3935229887085454, 0.164017832347333]","[0.0, 0.0, 0.164017832347333]",0.164017832347333,1.0,,,,,,,
0.0335160265093884,1,0,[1.],[-0.39352299  1.        ],"[1.0, 0.3935229887085454, 0.15486034264210596]","[1, 0.3935229887085454, 0.164017832347333]","[0.0, 0.0, 0.009157489705227034]",0.009157489705227034,0.05583228100365722,2.541147604316019,-2.541147604316019,[1],,,0.0,[]
0.0367837977182863,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.3861218670640604, 0.158074288018897]","[0.0, 0.3861218670640604, 0.158074288018897]",0.3861218670640604,1.0,,,,,,,
0.0367837977182863,0,1,[0.38612187 1.        ],[1.],"[1.0, 0.3861218670640604, 0.0]","[1, 0.3861218670640604, 0.158074288018897]","[0.0, 0.0, 0.158074288018897]",0.158074288018897,1.0,,,,,,,
0.0367837977182863,1,0,[1.],[-0.38612187  1.        ],"[1.0, 0.3861218670640604, 0.1490900962250359]","[1, 0.3861218670640604, 0.158074288018897]","[0.0, 0.0, 0.00898419179386109]",0.00898419179386109,0.05683525073215623,2.589855911564037,-2.589855911564037,[1],,,0.0,[]
0.0403701725859655,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.3787211578652362, 0.1522379956623566]","[0.0, 0.3787211578652362, 0.1522379956623566]",0.3787211578652362,1.0,,,,,,,
0.0403701725859655,0,1,[0.37872116 1.        ],[1.],"[1.0, 0.3787211578652362, 0.0]","[1, 0.3787211578652362, 0.1522379956623566]","[0.0, 0.0, 0.1522379956623566]",0.1522379956623566,1.0,,,,,,,
0.0403701725859655,1,0,[1.],[-0.37872116  1.        ],"[1.0, 0.3787211578652362, 0.14342971541478516]","[1, 0.3787211578652362, 0.1522379956623566]","[0.0, 0.0, 0.008808280247571437]",0.008808280247571437,0.057858619388992866,2.6404651000666806,-2.6404651000666806,[1],,,0.0,[]
0.0443062145758388,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.3713209333158868, 0.1465122971620654]","[0.0, 0.3713209333158868, 0.1465122971620654]",0.3713209333158868,1.0,,,,,,,
0.0443062145758388,0,1,[0.37132093 1.        ],[1.],"[1.0, 0.3713209333158868, 0.0]","[1, 0.3713209333158868, 0.1465122971620654]","[0.0, 0.0, 0.1465122971620654]",0.1465122971620654,1.0,,,,,,,
0.0443062145758388,1,0,[1.],[-0.37132093  1.        ],"[1.0, 0.3713209333158868, 0.13787923551858125]","[1, 0.3713209333158868, 0.1465122971620654]","[0.0, 0.0, 0.008633061643484152]",0.008633061643484152,0.058923802374995476,2.6930881355651692,-2.6930881355651692,[1],,,0.0,[]
0.0486260158006535,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.3639212798579865, 0.1408973224860366]","[0.0, 0.3639212798579865, 0.1408973224860366]",0.3639212798579865,1.0,,,,,,,
0.0486260158006535,0,1,[0.36392128 1.        ],[1.],"[1.0, 0.3639212798579865, 0.0]","[1, 0.3639212798579865, 0.1408973224860366]","[0.0, 0.0, 0.1408973224860366]",0.1408973224860366,1.0,,,,,,,
0.0486260158006535,1,0,[1.],[-0.36392128  1.        ],"[1.0, 0.3639212798579865, 0.13243869793347493]","[1, 0.3639212798579865, 0.1408973224860366]","[0.0, 0.0, 0.008458624552561661]",0.008458624552561661,0.06003396234445789,2.7478470079854396,-2.7478470079854396,[1],,,0.0,[]
0.0533669923120631,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.3565222995831195, 0.1353945393545126]","[0.0, 0.3565222995831195, 0.1353945393545126]",0.3565222995831195,1.0,,,,,,,
